Prompt,Category
What is the overall system health?,summary
What is the tool wear percentage?,parameter_query: tool_wear
Show me the latest recorded values for rotational speed and system load.,"multi_parameter_query: rotational_speed, system_load"
Generate a brief report on system performance.,summary
Summarize the last set of log entries.,summary
Can you summarize today's log activity?,summary
"Give me a combined report on air temperature, power consumption, and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
What is the overall system health?,summary
Show me the latest recorded values for rotational speed and system load.,"multi_parameter_query: rotational_speed, system_load"
What was the peak temperature recorded today?,parameter_query: process_temperature
How much load is currently on the system?,parameter_query: system_load
Is there an increasing trend in error logs?,fault_detection
What are the key events from the past hour?,summary
"Fetch the latest values of rotational speed, torque, and tool wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
Show me the latest recorded values for rotational speed and system load.,"multi_parameter_query: rotational_speed, system_load"
What are the recent fluctuations in process temperature and tool wear?,"multi_parameter_query: process_temperature, tool_wear"
What are the current readings for power consumption and process efficiency?,"multi_parameter_query: power_consumption, process_efficiency"
"Fetch the latest values of rotational speed, torque, and tool wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
Can you summarize today's log activity?,summary
Check if the system is at risk of imminent failure.,fault_detection
Show me the latest recorded values for rotational speed and system load.,"multi_parameter_query: rotational_speed, system_load"
What are the current air temperature and torque levels?,"multi_parameter_query: air_temperature, torque"
What was the peak temperature recorded today?,parameter_query: process_temperature
"Give me a combined report on air temperature, power consumption, and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
Give me the most recent power consumption data.,parameter_query: power_consumption
How much load is currently on the system?,parameter_query: system_load
Check if the system is at risk of imminent failure.,fault_detection
Provide a high-level summary of all alerts.,summary
How much load is currently on the system?,parameter_query: system_load
What is the current air temperature?,parameter_query: air_temperature
Give me the most recent power consumption data.,parameter_query: power_consumption
Give an executive summary of the system logs.,summary
What are the recent fault alerts generated by the system?,fault_detection
Is the system showing any signs of failure?,fault_detection
Generate a brief report on system performance.,summary
Check if there are any overheating warnings.,fault_detection
What are the recent fluctuations in process temperature and tool wear?,"multi_parameter_query: process_temperature, tool_wear"
Are there any detected anomalies in the log?,fault_detection
"Give me a combined report on air temperature, power consumption, and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
Are there any possibilities of fault occurrence?,fault_detection
What are the recent fluctuations in speed?,parameter_query: rotational_speed
What are the current readings for power consumption and process efficiency?,"multi_parameter_query: power_consumption, process_efficiency"
Has any component exceeded its safe operational limit?,fault_detection
Fetch the latest value of process efficiency.,parameter_query: process_efficiency
How high is the process temperature?,parameter_query: process_temperature
How fast is the system rotating?,parameter_query: rotational_speed
Fetch the latest value of process efficiency.,parameter_query: process_efficiency
What is the overall system health?,summary
Summarize the last set of log entries.,summary
What is the tool wear percentage?,parameter_query: tool_wear
Can you fetch the latest values for process temperature and rotational speed?,"multi_parameter_query: process_temperature, rotational_speed"
How have air temperature and process temperature changed over time?,"multi_parameter_query: air_temperature, process_temperature"
Are there any unusual patterns in power consumption?,fault_detection
Are there any unusual patterns in power consumption?,fault_detection
Is the system showing any signs of failure?,fault_detection
"Provide the latest log for system load, power consumption, and tool wear.","multi_parameter_query: system_load, power_consumption, tool_wear"
Are there any possibilities of fault occurrence?,fault_detection
How high is the process temperature?,parameter_query: process_temperature
Provide an overview of the last operational cycle.,summary
How fast is the system rotating?,parameter_query: rotational_speed
Provide a high-level summary of all alerts.,summary
Give me the most recent data on tool wear and system load.,"multi_parameter_query: tool_wear, system_load"
Are there any detected anomalies in the log?,fault_detection
What is the latest recorded torque value?,parameter_query: torque
How fast is the system rotating?,parameter_query: rotational_speed
Detect any unexpected fluctuations in system parameters.,fault_detection
Give me a quick summary of the machine status.,summary
What are the key events from the past hour?,summary
Check if there are any overheating warnings.,fault_detection
Can you summarize today's log activity?,summary
Can you fetch the latest values for process temperature and rotational speed?,"multi_parameter_query: process_temperature, rotational_speed"
What is the overall system health?,summary
Give me a quick summary of the machine status.,summary
How high is the process temperature?,parameter_query: process_temperature
What are the key events from the past hour?,summary
"Give me a combined report on air temperature, power consumption, and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
What is the current air temperature?,parameter_query: air_temperature
What are the recent fault alerts generated by the system?,fault_detection
"Provide the latest log for system load, power consumption, and tool wear.","multi_parameter_query: system_load, power_consumption, tool_wear"
What was the peak temperature recorded today?,parameter_query: process_temperature
Has any component exceeded its safe operational limit?,fault_detection
"Fetch the latest values of rotational speed, torque, and tool wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
Check if the system is at risk of imminent failure.,fault_detection
What is the overall system health?,summary
What are the recent fluctuations in speed?,parameter_query: rotational_speed
Summarize the recent system state.,summary
Give an executive summary of the system logs.,summary
Give me a quick summary of the machine status.,summary
Generate a brief report on system performance.,summary
Can you fetch the latest values for process temperature and rotational speed?,"multi_parameter_query: process_temperature, rotational_speed"
What is the latest recorded torque value?,parameter_query: torque
Are there any possibilities of fault occurrence?,fault_detection
Generate a brief report on system performance.,summary
Is there an increasing trend in error logs?,fault_detection
Give me a quick summary of the machine status.,summary
What are the current air temperature and torque levels?,"multi_parameter_query: air_temperature, torque"
Are there any detected anomalies in the log?,fault_detection
Is there an increasing trend in error logs?,fault_detection
Provide an overview of the last operational cycle.,summary
Summarize the recent system state.,summary
Give me a quick summary of the machine status.,summary
How have air temperature and process temperature changed over time?,"multi_parameter_query: air_temperature, process_temperature"
What is the latest recorded torque value?,parameter_query: torque
Can you fetch the latest values for process temperature and rotational speed?,"multi_parameter_query: process_temperature, rotational_speed"
Is the system showing any signs of failure?,fault_detection
What are the key events from the past hour?,summary
Give me the most recent data on tool wear and system load.,"multi_parameter_query: tool_wear, system_load"
Is there an increasing trend in error logs?,fault_detection
How fast is the system rotating?,parameter_query: rotational_speed
What are the key events from the past hour?,summary
What are the recent fluctuations in speed?,parameter_query: rotational_speed
Generate a brief report on system performance.,summary
Summarize the last set of log entries.,summary
"Provide the latest log for system load, power consumption, and tool wear.","multi_parameter_query: system_load, power_consumption, tool_wear"
Can you summarize today's log activity?,summary
Is the system showing any signs of failure?,fault_detection
Fetch the latest value of process efficiency.,parameter_query: process_efficiency
Is the system showing any signs of failure?,fault_detection
"Provide the latest log for system load, power consumption, and tool wear.","multi_parameter_query: system_load, power_consumption, tool_wear"
Summarize the last set of log entries.,summary
Check if the system is at risk of imminent failure.,fault_detection
What are the current air temperature and torque levels?,"multi_parameter_query: air_temperature, torque"
Detect any unexpected fluctuations in system parameters.,fault_detection
Are there any detected anomalies in the log?,fault_detection
What are the current readings for power consumption and process efficiency?,"multi_parameter_query: power_consumption, process_efficiency"
What is the latest recorded torque value?,parameter_query: torque
Check if the system is at risk of imminent failure.,fault_detection
"Fetch the latest values of rotational speed, torque, and tool wear.","multi_parameter_query: rotational_speed, torque, tool_wear"
What was the peak temperature recorded today?,parameter_query: process_temperature
Provide a high-level summary of all alerts.,summary
Give an executive summary of the system logs.,summary
What are the recent fluctuations in process temperature and tool wear?,"multi_parameter_query: process_temperature, tool_wear"
Give me the most recent data on tool wear and system load.,"multi_parameter_query: tool_wear, system_load"
What is the tool wear percentage?,parameter_query: tool_wear
Give me the most recent data on tool wear and system load.,"multi_parameter_query: tool_wear, system_load"
Check if there are any overheating warnings.,fault_detection
What is the latest recorded torque value?,parameter_query: torque
Is there an increasing trend in error logs?,fault_detection
Give an executive summary of the system logs.,summary
What are the current readings for power consumption and process efficiency?,"multi_parameter_query: power_consumption, process_efficiency"
How have air temperature and process temperature changed over time?,"multi_parameter_query: air_temperature, process_temperature"
Give an executive summary of the system logs.,summary
Check if there are any overheating warnings.,fault_detection
What are the recent fault alerts generated by the system?,fault_detection
Can you summarize today's log activity?,summary
Fetch the latest value of process efficiency.,parameter_query: process_efficiency
Provide an overview of the last operational cycle.,summary
Can you fetch the latest values for process temperature and rotational speed?,"multi_parameter_query: process_temperature, rotational_speed"
Provide an overview of the last operational cycle.,summary
Are there any unusual patterns in power consumption?,fault_detection
What are the recent fluctuations in process temperature and tool wear?,"multi_parameter_query: process_temperature, tool_wear"
