tokens,ner_tags
calculate the average temperature.,O O B-FUNC O
calculate the average power consumption.,O O B-FUNC O O
calculate the average system load.,O O B-FUNC O O
calculate the average rotation speed.,O O B-FUNC O O
calculate the average torque.,O O B-FUNC O
calculate the average tool wear.,O O B-FUNC O O
calculate the average air pressure.,O O B-FUNC O O
calculate the minimum temperature.,O O B-FUNC O
calculate the minimum power consumption.,O O B-FUNC O O
calculate the minimum system load.,O O B-FUNC O O
calculate the minimum rotation speed.,O O B-FUNC O O
calculate the minimum torque.,O O B-FUNC O
calculate the minimum tool wear.,O O B-FUNC O O
calculate the minimum air pressure.,O O B-FUNC O O
calculate the maximum temperature.,O O B-FUNC O
calculate the maximum power consumption.,O O B-FUNC O O
calculate the maximum system load.,O O B-FUNC O O
calculate the maximum rotation speed.,O O B-FUNC O O
calculate the maximum torque.,O O B-FUNC O
calculate the maximum tool wear.,O O B-FUNC O O
calculate the maximum air pressure.,O O B-FUNC O O
calculate the trend temperature.,O O B-FUNC O
calculate the trend power consumption.,O O B-FUNC O O
calculate the trend system load.,O O B-FUNC O O
calculate the trend rotation speed.,O O B-FUNC O O
calculate the trend torque.,O O B-FUNC O
calculate the trend tool wear.,O O B-FUNC O O
calculate the trend air pressure.,O O B-FUNC O O
calculate the latest temperature.,O O B-FUNC O
calculate the latest power consumption.,O O B-FUNC O O
calculate the latest system load.,O O B-FUNC O O
calculate the latest rotation speed.,O O B-FUNC O O
calculate the latest torque.,O O B-FUNC O
calculate the latest tool wear.,O O B-FUNC O O
calculate the latest air pressure.,O O B-FUNC O O
determine the average temperature.,O O B-FUNC O
determine the average power consumption.,O O B-FUNC O O
determine the average system load.,O O B-FUNC O O
determine the average rotation speed.,O O B-FUNC O O
determine the average torque.,O O B-FUNC O
determine the average tool wear.,O O B-FUNC O O
determine the average air pressure.,O O B-FUNC O O
determine the minimum temperature.,O O B-FUNC O
determine the minimum power consumption.,O O B-FUNC O O
determine the minimum system load.,O O B-FUNC O O
determine the minimum rotation speed.,O O B-FUNC O O
determine the minimum torque.,O O B-FUNC O
determine the minimum tool wear.,O O B-FUNC O O
determine the minimum air pressure.,O O B-FUNC O O
determine the maximum temperature.,O O B-FUNC O
determine the maximum power consumption.,O O B-FUNC O O
determine the maximum system load.,O O B-FUNC O O
determine the maximum rotation speed.,O O B-FUNC O O
determine the maximum torque.,O O B-FUNC O
determine the maximum tool wear.,O O B-FUNC O O
determine the maximum air pressure.,O O B-FUNC O O
determine the trend temperature.,O O B-FUNC O
determine the trend power consumption.,O O B-FUNC O O
determine the trend system load.,O O B-FUNC O O
determine the trend rotation speed.,O O B-FUNC O O
determine the trend torque.,O O B-FUNC O
determine the trend tool wear.,O O B-FUNC O O
determine the trend air pressure.,O O B-FUNC O O
determine the latest temperature.,O O B-FUNC O
determine the latest power consumption.,O O B-FUNC O O
determine the latest system load.,O O B-FUNC O O
determine the latest rotation speed.,O O B-FUNC O O
determine the latest torque.,O O B-FUNC O
determine the latest tool wear.,O O B-FUNC O O
determine the latest air pressure.,O O B-FUNC O O
find the average temperature.,O O B-FUNC O
find the average power consumption.,O O B-FUNC O O
find the average system load.,O O B-FUNC O O
find the average rotation speed.,O O B-FUNC O O
find the average torque.,O O B-FUNC O
find the average tool wear.,O O B-FUNC O O
find the average air pressure.,O O B-FUNC O O
find the minimum temperature.,O O B-FUNC O
find the minimum power consumption.,O O B-FUNC O O
find the minimum system load.,O O B-FUNC O O
find the minimum rotation speed.,O O B-FUNC O O
find the minimum torque.,O O B-FUNC O
find the minimum tool wear.,O O B-FUNC O O
find the minimum air pressure.,O O B-FUNC O O
find the maximum temperature.,O O B-FUNC O
find the maximum power consumption.,O O B-FUNC O O
find the maximum system load.,O O B-FUNC O O
find the maximum rotation speed.,O O B-FUNC O O
find the maximum torque.,O O B-FUNC O
find the maximum tool wear.,O O B-FUNC O O
find the maximum air pressure.,O O B-FUNC O O
find the trend temperature.,O O B-FUNC O
find the trend power consumption.,O O B-FUNC O O
find the trend system load.,O O B-FUNC O O
find the trend rotation speed.,O O B-FUNC O O
find the trend torque.,O O B-FUNC O
find the trend tool wear.,O O B-FUNC O O
find the trend air pressure.,O O B-FUNC O O
find the latest temperature.,O O B-FUNC O
find the latest power consumption.,O O B-FUNC O O
find the latest system load.,O O B-FUNC O O
find the latest rotation speed.,O O B-FUNC O O
find the latest torque.,O O B-FUNC O
find the latest tool wear.,O O B-FUNC O O
find the latest air pressure.,O O B-FUNC O O
show the average temperature.,O O B-FUNC O
show the average power consumption.,O O B-FUNC O O
show the average system load.,O O B-FUNC O O
show the average rotation speed.,O O B-FUNC O O
show the average torque.,O O B-FUNC O
show the average tool wear.,O O B-FUNC O O
show the average air pressure.,O O B-FUNC O O
show the minimum temperature.,O O B-FUNC O
show the minimum power consumption.,O O B-FUNC O O
show the minimum system load.,O O B-FUNC O O
show the minimum rotation speed.,O O B-FUNC O O
show the minimum torque.,O O B-FUNC O
show the minimum tool wear.,O O B-FUNC O O
show the minimum air pressure.,O O B-FUNC O O
show the maximum temperature.,O O B-FUNC O
show the maximum power consumption.,O O B-FUNC O O
show the maximum system load.,O O B-FUNC O O
show the maximum rotation speed.,O O B-FUNC O O
show the maximum torque.,O O B-FUNC O
show the maximum tool wear.,O O B-FUNC O O
show the maximum air pressure.,O O B-FUNC O O
show the trend temperature.,O O B-FUNC O
show the trend power consumption.,O O B-FUNC O O
show the trend system load.,O O B-FUNC O O
show the trend rotation speed.,O O B-FUNC O O
show the trend torque.,O O B-FUNC O
show the trend tool wear.,O O B-FUNC O O
show the trend air pressure.,O O B-FUNC O O
show the latest temperature.,O O B-FUNC O
show the latest power consumption.,O O B-FUNC O O
show the latest system load.,O O B-FUNC O O
show the latest rotation speed.,O O B-FUNC O O
show the latest torque.,O O B-FUNC O
show the latest tool wear.,O O B-FUNC O O
show the latest air pressure.,O O B-FUNC O O
identify the average temperature.,O O B-FUNC O
identify the average power consumption.,O O B-FUNC O O
identify the average system load.,O O B-FUNC O O
identify the average rotation speed.,O O B-FUNC O O
identify the average torque.,O O B-FUNC O
identify the average tool wear.,O O B-FUNC O O
identify the average air pressure.,O O B-FUNC O O
identify the minimum temperature.,O O B-FUNC O
identify the minimum power consumption.,O O B-FUNC O O
identify the minimum system load.,O O B-FUNC O O
identify the minimum rotation speed.,O O B-FUNC O O
identify the minimum torque.,O O B-FUNC O
identify the minimum tool wear.,O O B-FUNC O O
identify the minimum air pressure.,O O B-FUNC O O
identify the maximum temperature.,O O B-FUNC O
identify the maximum power consumption.,O O B-FUNC O O
identify the maximum system load.,O O B-FUNC O O
identify the maximum rotation speed.,O O B-FUNC O O
identify the maximum torque.,O O B-FUNC O
identify the maximum tool wear.,O O B-FUNC O O
identify the maximum air pressure.,O O B-FUNC O O
identify the trend temperature.,O O B-FUNC O
identify the trend power consumption.,O O B-FUNC O O
identify the trend system load.,O O B-FUNC O O
identify the trend rotation speed.,O O B-FUNC O O
identify the trend torque.,O O B-FUNC O
identify the trend tool wear.,O O B-FUNC O O
identify the trend air pressure.,O O B-FUNC O O
identify the latest temperature.,O O B-FUNC O
identify the latest power consumption.,O O B-FUNC O O
identify the latest system load.,O O B-FUNC O O
identify the latest rotation speed.,O O B-FUNC O O
identify the latest torque.,O O B-FUNC O
identify the latest tool wear.,O O B-FUNC O O
identify the latest air pressure.,O O B-FUNC O O
measure the average temperature.,O O B-FUNC O
measure the average power consumption.,O O B-FUNC O O
measure the average system load.,O O B-FUNC O O
measure the average rotation speed.,O O B-FUNC O O
measure the average torque.,O O B-FUNC O
measure the average tool wear.,O O B-FUNC O O
measure the average air pressure.,O O B-FUNC O O
measure the minimum temperature.,O O B-FUNC O
measure the minimum power consumption.,O O B-FUNC O O
measure the minimum system load.,O O B-FUNC O O
measure the minimum rotation speed.,O O B-FUNC O O
measure the minimum torque.,O O B-FUNC O
measure the minimum tool wear.,O O B-FUNC O O
measure the minimum air pressure.,O O B-FUNC O O
measure the maximum temperature.,O O B-FUNC O
measure the maximum power consumption.,O O B-FUNC O O
measure the maximum system load.,O O B-FUNC O O
measure the maximum rotation speed.,O O B-FUNC O O
measure the maximum torque.,O O B-FUNC O
measure the maximum tool wear.,O O B-FUNC O O
measure the maximum air pressure.,O O B-FUNC O O
measure the trend temperature.,O O B-FUNC O
measure the trend power consumption.,O O B-FUNC O O
measure the trend system load.,O O B-FUNC O O
measure the trend rotation speed.,O O B-FUNC O O
measure the trend torque.,O O B-FUNC O
measure the trend tool wear.,O O B-FUNC O O
measure the trend air pressure.,O O B-FUNC O O
measure the latest temperature.,O O B-FUNC O
measure the latest power consumption.,O O B-FUNC O O
measure the latest system load.,O O B-FUNC O O
measure the latest rotation speed.,O O B-FUNC O O
measure the latest torque.,O O B-FUNC O
measure the latest tool wear.,O O B-FUNC O O
measure the latest air pressure.,O O B-FUNC O O
